s,s,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C
29,2.9,244.22,242.9,0.5,0.27,0.19,0.17,0.11,0.12,23.13
30,3,233.94,236.99,0.52,0.3,0.19,0.18,0.07,0.09,23.14
31,3.1,235.68,245.06,0.51,0.26,0.17,0.15,0.07,0.08,23.19
32,3.2,229.53,239.79,0.51,0.31,0.19,0.17,0.07,0.09,23.23
33,3.3,238.49,247.26,0.64,0.34,0.29,0.21,0.1,0.11,23.2
34,3.4,238.63,240.85,1.08,0.39,0.44,0.28,0.2,0.15,23.2
35,3.5,239.07,246.55,0.8,0.29,0.29,0.22,0.17,0.12,23.2
36,3.6,242.76,244.29,0.8,0.29,0.31,0.21,0.13,0.13,23.28
37,3.7,225.5,286.36,0.88,0.34,0.37,0.23,0.17,0.15,23.31
38,3.8,217.85,397.6,1.03,0.35,0.44,0.26,0.19,0.15,23.29
39,3.9,234.42,404.53,1.42,0.48,0.59,0.35,0.25,0.2,23.28
40,4,242.69,408.03,1.24,0.44,0.51,0.31,0.2,0.18,23.27
41,4.1,244.26,407.41,1.09,0.39,0.47,0.28,0.19,0.16,23.29
42,4.2,254.93,405.88,1.14,0.42,0.48,0.3,0.2,0.18,23.29
43,4.3,278.59,408.33,1.14,0.44,0.51,0.32,0.22,0.19,23.26
44,4.4,285.49,405.92,1.21,0.48,0.53,0.35,0.26,0.2,23.25
45,4.5,314.52,408.35,1.26,0.5,0.53,0.35,0.28,0.23,23.23
46,4.6,356.07,405.29,1.18,0.68,0.5,0.36,0.25,0.25,23.21
47,4.7,388.62,409.22,1.17,0.52,0.5,0.36,0.24,0.25,23.2
48,4.8,415.81,405.65,1.18,0.47,0.53,0.36,0.25,0.22,23.2
49,4.9,420.84,408.56,1.14,0.48,0.48,0.36,0.23,0.23,23.21
50,5,413.39,407.08,1.11,0.46,0.47,0.36,0.2,0.23,23.2
51,5.1,410.15,430.69,1.16,0.48,0.51,0.36,0.24,0.22,23.18
52,5.2,413.8,883.9,1.22,0.5,0.51,0.35,0.26,0.22,23.16
53,5.3,446.22,1100.65,1.65,1.06,0.72,0.44,0.33,0.3,23.14
54,5.4,514.23,1065.92,3.1,1.41,1.5,0.93,0.74,0.62,23.15
55,5.5,608.72,1083.63,3.73,1.84,1.8,1.24,0.9,0.78,23.15
56,5.6,730.48,1074.36,3.64,1.84,1.75,1.24,0.89,0.78,23.15
57,5.7,833.3,1078.81,3.69,1.82,1.81,1.23,0.9,0.79,23.16
58,5.8,910.01,1076.22,3.89,1.91,1.86,1.25,0.92,0.79,23.14
59,5.9,957.93,1078.51,3.77,2.03,1.8,1.21,0.88,0.78,23.13
60,6,976.18,1077.07,3.81,1.91,1.84,1.23,0.88,0.8,23.13
61,6.1,1003.04,1078.49,3.86,1.94,1.84,1.28,0.92,0.81,23.12
62,6.2,1031.82,1078.16,3.73,1.94,1.8,1.29,0.91,0.8,23.13
63,6.3,1038.27,1078.43,3.69,1.87,1.74,1.24,0.89,0.78,23.09
64,6.4,1039.7,1077.85,3.78,1.91,1.8,1.25,0.92,0.8,23.05
65,6.5,1039.69,1078.28,3.82,1.87,1.84,1.24,0.94,0.79,23.02
66,6.6,1029.72,1077.55,3.77,1.87,1.78,1.24,0.93,0.8,23.02
67,6.7,1042.99,1078.02,3.78,1.79,1.77,1.2,0.9,0.77,23.03
68,6.8,1060.95,1078.48,3.84,1.8,1.8,1.2,0.92,0.77,23.02
69,6.9,1088.37,1078.25,3.6,1.88,1.74,1.24,0.89,0.8,23.02
70,7,1122.39,1078.3,3.68,1.83,1.75,1.24,0.92,0.79,23.03
71,7.1,1114.82,1078.25,3.78,1.84,1.81,1.27,0.93,0.82,23.05
72,7.2,1102.12,1077.58,3.98,1.86,1.9,1.29,0.96,0.84,23.1
73,7.3,1096.09,1078.07,3.86,1.84,1.83,1.27,0.94,0.8,23.08
74,7.4,1091.92,1078.02,3.84,1.82,1.8,1.23,0.91,0.79,23.08
75,7.5,1090.92,1078.17,3.8,1.88,1.83,1.31,0.97,0.82,23.08
76,7.6,1090.44,1077.22,3.88,1.84,1.83,1.27,0.97,0.81,23.09
77,7.7,1093,1078.1,3.94,1.84,1.84,1.27,0.97,0.82,23.05
78,7.8,1086.74,1077.54,3.85,1.84,1.78,1.23,0.91,0.8,23.02
79,7.9,1071.58,1077.59,3.77,1.86,1.77,1.27,0.87,0.8,22.98
80,8,1056.99,1077.84,3.78,1.84,1.74,1.25,0.89,0.82,22.96
81,8.1,1045.92,1077.38,3.76,1.83,1.71,1.21,0.85,0.77,22.96
82,8.2,1041.07,1077.77,3.45,1.78,1.62,1.18,0.83,0.72,22.95
83,8.3,1035.78,1078.24,3.64,1.87,1.77,1.28,0.94,0.81,22.96
84,8.4,1046.16,1077.84,3.69,1.88,1.77,1.28,0.94,0.8,22.94
85,8.5,1048.89,1077.61,3.55,1.86,1.68,1.23,0.88,0.79,22.9
86,8.6,1058.86,1077.63,3.63,1.95,1.74,1.28,0.93,0.83,22.87
87,8.7,1060.88,1077.54,3.69,1.94,1.81,1.29,0.96,0.85,22.85
88,8.8,1071.51,1077.67,3.74,1.99,1.87,1.33,0.96,0.86,22.85
89,8.9,1085.38,1077.95,3.6,1.87,1.75,1.25,0.9,0.8,22.87
90,9,1067.66,1077.76,3.73,1.94,1.8,1.28,0.96,0.82,22.89
91,9.1,1047.49,1077.76,3.69,1.87,1.75,1.25,0.93,0.79,22.91
92,9.2,1044.36,1077.05,3.88,1.87,1.81,1.25,0.96,0.81,22.93
93,9.3,1064.68,1077.75,3.78,1.86,1.83,1.24,0.96,0.8,22.96
94,9.4,1072.61,1076.91,3.76,1.87,1.87,1.27,0.98,0.82,22.99
95,9.5,1080.71,1077.43,3.81,1.94,1.89,1.31,1,0.83,23
96,9.6,1083.14,1077.15,3.94,1.9,1.92,1.29,0.97,0.83,23.03
97,9.7,1086.16,1077.45,3.85,2.21,1.89,1.32,0.98,0.85,23.04
98,9.8,1094.43,1077.31,3.81,2.02,1.87,1.32,0.97,0.86,23.04
99,9.9,1100.97,1077.3,3.8,1.99,1.87,1.35,0.99,0.86,23.04
100,10,1111.8,1077.29,3.82,1.99,1.89,1.35,1,0.85,23.06
101,10.1,1103.47,1077.44,3.77,1.9,1.83,1.28,0.95,0.81,23.07
102,10.2,1102.07,1077.23,3.88,1.98,1.94,1.33,1,0.84,23.09
103,10.3,1087.5,1077.05,3.77,1.9,1.84,1.28,0.95,0.8,23.11
104,10.4,1062.72,1077.52,3.89,1.95,1.96,1.33,1.01,0.83,23.12
105,10.5,1033.98,1077.67,3.98,1.95,1.96,1.33,1.04,0.83,23.11
106,10.6,1030.33,1077.28,4.03,1.88,1.92,1.29,0.99,0.8,23.16
107,10.7,1036.53,1077.11,3.92,1.88,1.89,1.27,0.94,0.8,23.22
108,10.8,1059.57,1077.78,3.85,1.92,1.89,1.29,0.96,0.81,23.22
109,10.9,1092.86,1077.73,3.86,2.03,1.9,1.33,0.98,0.83,23.23
110,11,1102.91,1077.15,3.9,1.98,1.93,1.32,1,0.83,23.25
111,11.1,1100.18,1076.56,3.96,1.98,1.94,1.31,0.98,0.83,23.24
112,11.2,1114,1077.19,3.98,1.92,1.93,1.29,0.99,0.82,23.23
113,11.3,1099.78,1077.12,4.01,1.98,1.96,1.32,1.01,0.82,23.25
114,11.4,1086.2,1077.7,4.06,1.96,1.93,1.31,0.99,0.82,23.26
115,11.5,1051.89,1076.84,4.05,1.95,1.9,1.28,0.95,0.82,23.25
116,11.6,1040.65,1077.08,3.94,1.92,1.84,1.25,0.92,0.79,23.23
117,11.7,1028.55,1077.23,4,2.03,1.9,1.32,0.97,0.83,23.21
118,11.8,1024.92,1076.66,4.05,2.02,1.92,1.32,0.96,0.82,23.19
119,11.9,1026.65,1077,3.96,1.96,1.86,1.29,0.94,0.8,23.18
120,12,1032.99,1077.04,3.85,1.94,1.81,1.27,0.93,0.79,23.19
121,12.1,1045.12,1076.77,3.84,1.98,1.83,1.31,0.96,0.8,23.19
122,12.2,1041.17,1076.39,3.9,1.99,1.83,1.33,0.97,0.85,23.17
123,12.3,1056.54,1077.23,4,1.98,1.86,1.32,0.96,0.83,23.16
124,12.4,1059.62,1077.3,4.21,2.02,1.93,1.33,0.97,0.85,23.15
125,12.5,1073.44,1077.05,4.21,2.04,1.89,1.35,0.97,0.86,23.15
126,12.6,1085.57,1077.07,4.03,2.02,1.78,1.32,0.92,0.83,23.16
127,12.7,1085.31,1076.58,4.01,2,1.8,1.29,0.89,0.83,23.16
128,12.8,1087.83,1075.29,3.94,1.99,1.78,1.28,0.87,0.81,23.17
129,12.9,1090.12,1077.27,4.3,2.14,1.97,1.36,0.96,0.86,23.15
130,13,1099.2,1076.65,4.32,2.16,1.96,1.36,0.98,0.84,23.13
131,13.1,1090.15,1076.71,4.14,2.03,1.83,1.27,0.9,0.8,23.14
132,13.2,1089.68,1077.05,4.22,2.03,1.89,1.27,0.92,0.81,23.17
133,13.3,1087.19,1077.05,4.19,2.02,1.87,1.28,0.92,0.8,23.18
134,13.4,1076.18,1076.58,4.15,2.1,1.87,1.35,0.93,0.82,23.16
135,13.5,1069.41,1076.87,3.9,1.96,1.77,1.27,0.89,0.79,23.16
136,13.6,1083.12,1076.82,4.02,2.02,1.86,1.29,0.91,0.82,23.2
137,13.7,1085.8,1076.95,4.23,2.11,1.93,1.37,0.98,0.86,23.21
138,13.8,1097.59,1077.25,4.19,2.08,1.9,1.37,0.96,0.83,23.17
139,13.9,1089.46,1076.79,4.11,1.99,1.87,1.31,0.9,0.82,23.13
140,14,1079.55,1076.18,4.23,2.06,1.94,1.33,0.93,0.83,23.12
141,14.1,1071.55,1076.48,4.26,2.06,1.94,1.33,0.95,0.84,23.11
142,14.2,1056.15,1076.77,4.27,2.11,1.97,1.36,0.98,0.88,23.09
143,14.3,1043.69,1076.6,4.29,2.15,1.99,1.38,1.01,0.86,23.08
144,14.4,1040.96,1076.86,4.26,2.1,1.96,1.36,0.94,0.82,23.07
145,14.5,1046.18,1076.34,4.1,2.03,1.86,1.32,0.93,0.82,23.07
146,14.6,1041.94,1076.12,4.18,2.08,1.96,1.36,0.97,0.87,23.07
147,14.7,1054.95,1076.43,4.18,2.14,1.92,1.41,1,0.88,23.09
148,14.8,1048.31,1076.99,4.15,2.15,1.93,1.41,1.02,0.89,23.08
149,14.9,1048.95,1076.21,4.17,2.15,1.94,1.41,1.04,0.89,23.08
150,15,1043.84,1076.28,4.23,2.1,1.96,1.4,1.02,0.88,23.08
151,15.1,1027.9,1076.96,4.22,2.04,1.96,1.36,1.02,0.87,23.06
152,15.2,1019.42,1076.66,4.21,2.07,1.96,1.38,1.03,0.89,23.06
153,15.3,1011.06,1076.66,4.26,2.06,1.96,1.38,1.03,0.9,23.06
154,15.4,998.5,1076.51,4.18,1.96,1.93,1.32,0.97,0.87,23.07
155,15.5,999.83,1075.6,4.18,2.02,1.93,1.33,0.98,0.85,23.08
156,15.6,1005.06,1076.96,4.19,2.04,1.97,1.36,1,0.88,23.09
157,15.7,1004.83,1075.57,4.11,2.06,1.97,1.36,1.02,0.89,23.12
158,15.8,1008.58,1076.75,4.17,2.08,2.05,1.42,1.08,0.93,23.21
159,15.9,1016.78,1075.23,4.15,2,2,1.36,1.01,0.87,23.3
160,16,1026.74,1076.47,4.22,2.04,2.05,1.36,1.03,0.88,23.34
161,16.1,1033.99,1076.95,4.22,1.96,2,1.33,0.97,0.86,23.41
162,16.2,1050.88,1076.58,4.15,2.02,1.97,1.36,0.98,0.86,23.44
163,16.3,1047.93,1076.24,4.1,2.06,1.97,1.37,1,0.88,23.39
164,16.4,1068.45,1075.57,4.23,2.03,1.99,1.36,1,0.9,23.35
165,16.5,1068.3,1076.65,4.3,2.02,2.02,1.38,1.03,0.87,23.31
166,16.6,1057.08,1076.13,4.14,1.99,1.99,1.37,1.01,0.86,23.28
167,16.7,1046.11,1074.77,4.19,1.99,1.94,1.35,1,0.88,23.26
168,16.8,1034.54,1075.91,4.32,2,1.96,1.35,0.97,0.88,23.26
169,16.9,1028.2,1076.2,4.38,2.1,2.05,1.4,1.04,0.91,23.27
170,17,1028.47,1076.06,4.38,2.17,2.06,1.45,1.04,0.93,23.28
171,17.1,1034.77,1076.12,4.17,2.04,1.96,1.35,0.98,0.87,23.29
172,17.2,1035.96,1075.56,4.26,2.04,1.97,1.36,0.99,0.87,23.3
173,17.3,1047.33,1075.68,4.17,2.02,1.92,1.35,0.95,0.83,23.32
174,17.4,1046.17,1075.34,4.14,2.04,1.94,1.35,0.98,0.86,23.33
175,17.5,1042.04,1076.05,4.13,1.98,1.92,1.35,0.99,0.86,23.33
176,17.6,1029.52,1076.45,4.23,2.06,1.99,1.38,1.03,0.91,23.33
177,17.7,1037.51,1076.28,4.36,2.12,2.03,1.45,1.07,0.92,23.32
178,17.8,1044.48,1076.23,4.31,2.04,2.05,1.4,1.05,0.91,23.32
179,17.9,1071.84,1075.96,4.42,2.21,2.09,1.45,1.06,0.91,23.32
180,18,1096.9,1076.22,4.26,2.19,2.02,1.42,1.04,0.9,23.3
181,18.1,1123.39,1076.09,4.23,2.21,2.03,1.45,1.07,0.91,23.3
182,18.2,1133.13,1076.16,4.32,2.16,2.08,1.45,1.09,0.91,23.32
183,18.3,1125.61,1075.7,4.18,2.03,2,1.38,1.04,0.86,23.33
184,18.4,1126.55,1076.89,4.22,2.07,2,1.42,1.05,0.91,23.32
185,18.5,1118.85,1076.08,4.29,2.08,2,1.45,1.04,0.92,23.33
186,18.6,1092.81,1076.22,4.32,2.04,2.02,1.38,1.04,0.88,23.33
187,18.7,1075.56,1075.3,4.22,2,1.99,1.33,1,0.86,23.33
188,18.8,1075.05,1075.33,4.17,2.03,1.96,1.35,1.03,0.87,23.31
189,18.9,1063.01,1076.84,3.98,1.98,1.87,1.31,0.98,0.81,23.34
190,19,1064.04,1075.61,4.02,2.03,1.9,1.35,1.01,0.83,23.41
191,19.1,1054.06,1075.47,4.17,2.06,1.97,1.37,1.04,0.89,23.4
192,19.2,1033.15,1076,4.07,2.06,1.96,1.4,1.04,0.91,23.4
193,19.3,1033.27,1076.41,3.97,2.06,1.92,1.37,1.01,0.89,23.38
194,19.4,1021.16,1076.33,3.93,2.1,1.94,1.38,1,0.88,23.35
195,19.5,1029.82,1076.44,3.97,2.11,1.97,1.41,1.04,0.91,23.31
196,19.6,1043.25,1075.91,4,2.06,1.96,1.4,1.04,0.88,23.3
197,19.7,1057.1,1076.34,4.18,2.07,2,1.41,1.02,0.89,23.3
198,19.8,1053.93,1075.5,4.25,2.14,2.05,1.45,1.03,0.94,23.32
199,19.9,1067.46,1075.41,4.4,2.23,2.12,1.53,1.12,0.94,23.35
200,20,1076.4,1074.75,4.19,2.2,2.05,1.49,1.11,0.91,23.35
201,20.1,1069.77,1075.6,4.22,2.29,2.06,1.52,1.13,0.93,23.35
202,20.2,1069.44,1076.35,4.31,2.4,2.02,1.44,1.04,0.9,23.32
203,20.3,1065.95,1076.27,4.25,2.15,1.97,1.4,1.03,0.88,23.31
204,20.4,1058.1,1075.74,4.32,2.14,2.02,1.45,1.05,0.91,23.31
205,20.5,1070.94,1075.78,4.22,2.07,2,1.41,1.06,0.91,23.31
206,20.6,1076.36,1075.81,4.29,2.07,2.03,1.4,1.05,0.93,23.33
207,20.7,1098.94,1075.5,4.13,2.07,1.94,1.37,1.01,0.9,23.34
208,20.8,1111.15,1075.7,4.07,2.07,1.9,1.37,0.98,0.89,23.35
209,20.9,1098.63,1076.03,4.11,2.06,1.87,1.37,0.99,0.9,23.33
210,21,1082.08,1075.16,4.32,2.16,2.03,1.46,1.04,0.96,23.33
211,21.1,1044.9,1075.36,4.22,2.15,1.93,1.46,1.04,0.95,23.32
212,21.2,1019.92,1075.77,4.1,2.06,1.87,1.4,0.99,0.9,23.32
213,21.3,1024.91,1075.41,3.94,2.03,1.83,1.37,0.98,0.89,23.31
214,21.4,1035.42,1075.98,3.98,2.02,1.89,1.37,1.01,0.9,23.31
215,21.5,1071.58,1076.4,4.06,2.08,1.94,1.4,1.03,0.91,23.31
216,21.6,1080.67,1076.11,4.09,2.07,1.97,1.41,1.05,0.91,23.32
217,21.7,1087.59,1076,4.3,2.14,2.06,1.46,1.1,0.92,23.32
218,21.8,1087.22,1074.22,4.27,2.11,2.03,1.42,1.06,0.89,23.32
219,21.9,1075.68,1075.97,4.36,2.15,2.11,1.45,1.1,0.94,23.32
220,22,1072.06,1075.46,4.31,2.14,2.08,1.42,1.09,0.95,23.31
221,22.1,1058.06,1075.28,4.14,2.12,2,1.4,1.07,0.94,23.29
222,22.2,1065.95,1075.75,4.14,2.06,1.99,1.38,1.04,0.91,23.26
223,22.3,1057.91,1074.72,4.06,2.08,1.93,1.4,1.01,0.91,23.21
224,22.4,1058.91,1076.01,4.17,2.17,1.97,1.45,1.07,0.94,23.18
225,22.5,1055.91,1075.51,4.1,2.08,1.92,1.41,1.05,0.91,23.15
226,22.6,1056.45,1074.84,4.3,2.08,2.05,1.44,1.08,0.94,23.13
227,22.7,1045.26,1075.48,4.34,2.06,2.05,1.4,1.07,0.94,23.16
228,22.8,1033.54,1075.12,4.35,2.12,2.05,1.42,1.05,0.92,23.17
229,22.9,1003.15,1074.61,4.29,2.16,2.05,1.44,1.03,0.93,23.18
230,23,1008.75,1075.83,4.05,2.02,1.9,1.36,0.99,0.9,23.19
231,23.1,1010.77,1075.89,4.09,2.04,1.96,1.38,1,0.9,23.19
232,23.2,1026.67,1075.63,4.25,2.1,2.02,1.41,1,0.91,23.2
233,23.3,1031.59,1075.77,4.19,2.12,2.02,1.44,1.02,0.93,23.2
234,23.4,1047.09,1075.15,4.22,2.21,2.02,1.44,1.03,0.94,23.21
235,23.5,1056.11,1075.8,4.21,2.27,1.99,1.46,1.02,0.93,23.21
236,23.6,1062.56,1076.06,4.32,2.24,2.08,1.48,1.07,0.96,23.22
237,23.7,1092.77,1075.15,4.42,2.17,2.12,1.48,1.1,0.96,23.24
238,23.8,1099.43,1074.8,4.39,2.19,2.09,1.49,1.11,0.96,23.24
239,23.9,1090.06,1075.37,4.58,2.17,2.11,1.49,1.11,0.97,23.24
240,24,1094.11,1076.1,4.5,2.21,2.12,1.49,1.1,0.97,23.22
241,24.1,1092.09,1075.69,4.63,2.24,2.15,1.52,1.12,0.98,23.17
242,24.2,1100.22,1075.17,4.46,2.2,2.09,1.49,1.1,0.96,23.17
243,24.3,1105,1076.11,4.3,2.15,2.05,1.46,1.08,0.96,23.18
244,24.4,1115.72,1075.82,4.14,2.08,1.97,1.44,1.03,0.93,23.18
245,24.5,1107.34,1075.13,4.01,2.1,1.94,1.42,1.02,0.92,23.18
246,24.6,1090.39,1075.27,4.15,2.14,2.02,1.45,1.07,0.96,23.17
247,24.7,1070.56,1074.81,3.94,2.06,1.92,1.41,1.01,0.93,23.13
248,24.8,1041.24,1075.87,4.22,2.16,1.97,1.48,1.01,0.95,23.13
249,24.9,1032.21,1074.59,4.36,2.2,2.03,1.49,1.02,0.93,23.15
250,25,1037.45,1076.07,4.36,2.32,2.15,1.54,1.11,0.96,23.15
251,25.1,1052.63,1075.68,4.52,2.36,2.18,1.57,1.13,0.98,23.13
252,25.2,1065.75,1074.9,4.55,2.35,2.15,1.55,1.1,0.98,23.11
253,25.3,1077.72,1074.94,4.35,2.23,2.02,1.48,1.06,0.94,23.1
254,25.4,1078.92,1074.8,4.21,2.12,1.94,1.42,1.05,0.9,23.1
255,25.5,1084.05,1075.88,4.42,2.21,2.11,1.52,1.12,0.96,23.09
256,25.6,1100.05,1075.54,4.47,2.33,2.17,1.57,1.15,1.01,23.06
257,25.7,1111.53,1075.49,4.56,2.39,2.18,1.58,1.15,1.03,23.02
258,25.8,1096.71,1074.53,4.54,2.32,2.15,1.55,1.12,1,23.03
259,25.9,1092.37,1074.99,4.54,2.35,2.18,1.58,1.1,1.01,23.04
260,26,1087.66,1075.45,4.39,2.33,2.09,1.53,1.07,0.99,23.06
261,26.1,1073.6,1075.59,4.31,2.2,2.03,1.48,1.05,0.97,23.07
262,26.2,1065.7,1075.59,4.38,2.21,2.05,1.49,1.04,0.96,23.09
263,26.3,1049.32,1075.18,4.34,2.17,2.02,1.46,1.06,0.94,23.11
264,26.4,1045.31,1075.69,4.51,2.23,2.11,1.5,1.11,0.98,23.12
265,26.5,1054.34,1075.18,4.44,2.15,2,1.48,1.05,0.95,23.17
266,26.6,1047.65,1074.54,4.44,2.14,2.05,1.46,1.04,0.97,23.24
267,26.7,1058.13,1075.13,4.22,2.16,2.02,1.48,1.05,0.98,23.24
268,26.8,1044.69,1075.29,4.47,2.2,2.11,1.49,1.1,0.99,23.23
269,26.9,1034.25,1076.27,4.5,2.12,2.08,1.44,1.05,0.94,23.21
270,27,1025.29,1075.34,4.44,2.16,2.08,1.44,1.02,0.92,23.21
271,27.1,1024.38,1074.32,4.43,2.21,2.06,1.45,1.04,0.93,23.24
272,27.2,1033.12,1075.36,4.46,2.21,2.03,1.46,1.05,0.96,23.24
273,27.3,1039.35,1074.58,4.46,2.23,2.06,1.52,1.09,0.98,23.23
274,27.4,1063.72,1074.66,4.47,2.17,2.11,1.5,1.11,0.99,23.22
275,27.5,1074.64,1074.69,4.38,2.16,2.03,1.48,1.07,0.96,23.21
276,27.6,1094.8,1075.8,4.25,2.17,2.02,1.49,1.08,0.97,23.21
277,27.7,1089.35,1075.32,4.25,2.23,2.06,1.5,1.09,0.99,23.19
278,27.8,1075.63,1075.31,4.38,2.23,2.09,1.5,1.07,0.97,23.16
279,27.9,1060.23,1075.27,4.35,2.2,2.06,1.48,1.01,0.95,23.16
280,28,1046.6,1074.58,4.48,2.25,2.14,1.48,1.04,0.96,23.17
281,28.1,1035.75,1075.37,4.29,2.28,2.08,1.53,1.06,0.94,23.18
282,28.2,1035.33,1075.56,4.35,2.41,2.11,1.53,1.06,0.96,23.2
283,28.3,1043.24,1076.22,4.22,2.24,2,1.48,1.01,0.94,23.2
284,28.4,1043.85,1075.91,4.18,2.17,1.99,1.49,1.07,0.94,23.2
285,28.5,1034.46,1075.35,4.17,2.27,1.99,1.52,1.06,0.96,23.2
286,28.6,1029.37,1075.11,4.35,2.32,2.09,1.53,1.1,0.98,23.18
287,28.7,1004.4,1075.39,4.35,2.23,2.11,1.53,1.11,0.96,23.15
288,28.8,989.1,1075.3,4.47,2.32,2.17,1.48,1.11,0.97,23.14
289,28.9,958.82,1074.73,4.46,2.35,2.15,1.54,1.14,1,23.14
290,29,965.12,1073.23,4.44,2.81,2.15,1.55,1.08,1.01,23.14
291,29.1,978.43,1074.05,4.27,2.43,1.99,1.45,0.98,0.93,23.13
292,29.2,1025,1329.15,4.19,2.12,1.96,1.41,0.95,0.93,23.14
293,29.3,1101.13,2031.72,4.22,2.12,1.99,1.41,0.98,0.93,23.14
294,29.4,1234.64,2046.87,6.13,3.3,3.17,2.13,1.53,1.39,23.14
295,29.5,1417.39,2062.95,8.44,5.35,4.41,3.3,2.3,2.04,23.21
296,29.6,1645.22,2051.23,8.42,5.53,4.25,3.41,2.27,2.05,23.29
297,29.7,1813.85,2059.82,8.49,5.66,4.31,3.48,2.25,2.08,23.36
298,29.8,1921.11,2055.36,8.52,5.66,4.32,3.47,2.23,2.1,23.51
299,29.9,1981.11,2057.24,8.67,5.73,4.32,3.45,2.21,2.07,23.57
300,30,2006.04,2056.95,8.38,5.37,4.06,3.19,1.98,1.9,23.55
301,30.1,2021.51,2056.53,8.44,5.35,4.16,3.2,2.02,1.92,23.52
302,30.2,2037.17,2056.58,8.35,5.44,4.16,3.32,2.09,1.97,23.47
303,30.3,2036.11,2056.33,8.38,5.49,4.17,3.34,2.08,1.98,23.42
304,30.4,2047.01,2056.46,8.27,5.32,4.06,3.24,1.98,1.91,23.37
305,30.5,2056.42,2057.78,8.39,5.7,4.17,3.47,2.15,2.03,23.34
306,30.6,2054.4,2057.85,8.71,5.91,4.47,3.68,2.37,2.2,23.34
307,30.7,2056.49,2056.67,8.69,5.76,4.56,3.64,2.43,2.17,23.34
308,30.8,2037.1,2057.71,8.92,5.85,4.57,3.6,2.3,2.14,23.34
309,30.9,2015.37,2058.43,8.93,6.13,4.57,3.7,2.38,2.22,23.35
310,31,1990.08,2055.5,8.94,5.99,4.56,3.71,2.37,2.22,23.36
311,31.1,1947.96,2056.89,8.77,6.05,4.47,3.69,2.35,2.19,23.37
312,31.2,1909.94,2056.76,8.69,6.19,4.56,3.75,2.35,2.2,23.38
313,31.3,1900.6,2056.54,8.98,6.44,4.54,3.75,2.3,2.19,23.36
314,31.4,1898.87,2056.67,8.93,6.38,4.6,3.75,2.37,2.19,23.34
315,31.5,1898.59,2056.24,9,6.51,4.67,3.9,2.48,2.27,23.34
316,31.6,1891.16,2056.54,8.96,6.07,4.5,3.66,2.29,2.16,23.35
317,31.7,1894.27,2057.79,9.01,6.24,4.51,3.66,2.29,2.18,23.36
318,31.8,1899.66,2055.93,9.04,6.64,4.66,3.83,2.38,2.25,23.36
319,31.9,1923.21,2056.24,8.81,6.4,4.54,3.7,2.32,2.16,23.36
320,32,1968.91,2056.31,8.64,6.1,4.45,3.57,2.25,2.12,23.36
