s,s,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C
52,5.2,239.74,209.27,0.5,0.23,0.23,0.17,0.09,0.1,24.14
53,5.3,234.12,210.91,0.5,0.24,0.23,0.18,0.1,0.11,24.14
54,5.4,219.92,210.93,0.51,0.25,0.23,0.16,0.09,0.12,24.13
55,5.5,213.39,210.87,0.5,0.24,0.23,0.17,0.09,0.12,24.13
56,5.6,212,211.06,0.51,0.25,0.22,0.17,0.11,0.11,24.13
57,5.7,213.91,210.54,0.51,0.24,0.22,0.16,0.11,0.1,24.14
58,5.8,215.62,210.7,0.51,0.23,0.2,0.16,0.11,0.1,24.14
59,5.9,218.78,210.91,0.51,0.2,0.22,0.16,0.12,0.1,24.15
60,6,219.56,210.81,0.52,0.2,0.23,0.17,0.13,0.1,24.17
61,6.1,215.95,210.71,0.52,0.21,0.2,0.18,0.11,0.09,24.2
62,6.2,228.76,210.57,0.5,0.24,0.22,0.18,0.1,0.11,24.21
63,6.3,228.35,210.43,0.51,0.24,0.2,0.17,0.1,0.12,24.2
64,6.4,220.93,210.93,0.52,0.24,0.22,0.17,0.11,0.12,24.17
65,6.5,219.64,210.57,0.51,0.24,0.22,0.16,0.12,0.11,24.16
66,6.6,210.11,210.88,0.51,0.23,0.22,0.17,0.12,0.11,24.16
67,6.7,200.73,210.36,0.52,0.21,0.23,0.18,0.12,0.11,24.18
68,6.8,178.4,210.33,0.54,0.24,0.23,0.18,0.11,0.12,24.2
69,6.9,166.66,210.56,0.52,0.24,0.23,0.18,0.11,0.12,24.22
70,7,158.1,210.39,0.52,0.24,0.22,0.18,0.11,0.11,24.22
71,7.1,159.86,210.76,0.51,0.23,0.22,0.17,0.11,0.1,24.23
72,7.2,158.68,210.67,0.54,0.24,0.22,0.17,0.09,0.08,24.25
73,7.3,157.66,210.47,0.54,0.23,0.2,0.18,0.08,0.09,24.26
74,7.4,155.66,210.52,0.58,0.24,0.2,0.18,0.09,0.11,24.26
75,7.5,158.33,210.64,0.51,0.23,0.19,0.18,0.1,0.11,24.28
76,7.6,165.38,210.66,0.5,0.24,0.2,0.17,0.09,0.11,24.31
77,7.7,167.37,210.62,0.51,0.25,0.2,0.16,0.1,0.11,24.33
78,7.8,173.87,210.37,0.5,0.23,0.2,0.16,0.1,0.11,24.35
79,7.9,180.04,210.65,0.52,0.24,0.22,0.16,0.11,0.12,24.35
80,8,179.37,210.58,0.5,0.24,0.22,0.17,0.12,0.13,24.33
81,8.1,184.81,210.75,0.48,0.21,0.2,0.18,0.11,0.11,24.36
82,8.2,188.72,210.36,0.54,0.24,0.19,0.18,0.12,0.11,24.34
83,8.3,188.48,210.26,0.52,0.24,0.19,0.18,0.12,0.12,24.31
84,8.4,191.35,210.55,0.5,0.23,0.2,0.17,0.1,0.11,24.29
85,8.5,191.19,210.93,0.5,0.23,0.2,0.18,0.11,0.11,24.23
86,8.6,196.46,210.12,0.51,0.23,0.2,0.18,0.11,0.1,24.21
87,8.7,198.44,210.51,0.5,0.25,0.2,0.18,0.11,0.1,24.19
88,8.8,196.84,210.18,0.51,0.24,0.22,0.17,0.11,0.1,24.17
89,8.9,205.04,210.64,0.5,0.25,0.22,0.17,0.09,0.11,24.17
90,9,209.06,210.56,0.5,0.25,0.2,0.17,0.09,0.1,24.14
91,9.1,211.58,210.43,0.51,0.25,0.2,0.17,0.09,0.11,24.09
92,9.2,213.91,210.04,0.52,0.25,0.2,0.18,0.09,0.13,24.05
93,9.3,211.48,210.3,0.52,0.25,0.2,0.18,0.09,0.12,24.03
94,9.4,211.59,210.59,0.51,0.24,0.2,0.18,0.09,0.13,24.04
95,9.5,211.76,210.69,0.51,0.24,0.19,0.18,0.08,0.13,24.02
96,9.6,215.92,210.73,0.54,0.25,0.22,0.17,0.09,0.12,24.01
97,9.7,218.87,210.32,0.56,0.25,0.22,0.18,0.08,0.12,24.01
98,9.8,220.31,210.52,0.55,0.25,0.22,0.18,0.08,0.12,23.99
99,9.9,221,210.55,0.54,0.25,0.22,0.17,0.1,0.12,23.98
100,10,225.57,210.41,0.52,0.24,0.22,0.18,0.1,0.11,23.99
101,10.1,230.12,210.14,0.51,0.25,0.2,0.18,0.1,0.13,23.99
102,10.2,232.69,210.08,0.51,0.25,0.22,0.18,0.1,0.13,24.02
103,10.3,226.87,210.55,0.52,0.25,0.22,0.18,0.11,0.12,24.02
104,10.4,231.55,210.23,0.51,0.25,0.22,0.18,0.11,0.12,24
105,10.5,228.59,210.16,0.5,0.24,0.22,0.18,0.11,0.11,24.02
106,10.6,228.08,210.13,0.5,0.24,0.2,0.18,0.1,0.12,24.04
107,10.7,227.85,209.96,0.48,0.24,0.22,0.18,0.1,0.11,24.03
108,10.8,232.81,210.35,0.5,0.25,0.23,0.17,0.12,0.1,24.03
109,10.9,231.73,210.37,0.51,0.25,0.22,0.17,0.12,0.11,24.04
110,11,230.83,210.5,0.51,0.24,0.23,0.18,0.12,0.12,24.07
111,11.1,230.58,209.76,0.5,0.24,0.22,0.18,0.11,0.12,24.09
112,11.2,231.33,210.09,0.5,0.24,0.22,0.18,0.1,0.12,24.08
113,11.3,225,210.47,0.48,0.25,0.22,0.18,0.09,0.12,24.09
114,11.4,219.92,210.42,0.5,0.24,0.22,0.18,0.09,0.12,24.07
115,11.5,219.75,210.31,0.51,0.24,0.2,0.18,0.09,0.1,24.08
116,11.6,218.95,210.44,0.48,0.24,0.2,0.18,0.08,0.1,24.1
117,11.7,214.65,210.58,0.5,0.24,0.19,0.17,0.11,0.09,24.13
118,11.8,208.27,209.7,0.48,0.24,0.19,0.16,0.1,0.08,24.12
119,11.9,206.11,210.73,0.5,0.25,0.2,0.16,0.12,0.09,24.1
120,12,198.98,209.95,0.51,0.27,0.22,0.16,0.11,0.09,24.08
121,12.1,203.98,210.59,0.51,0.25,0.22,0.17,0.09,0.12,24.05
122,12.2,198.7,210.28,0.51,0.24,0.2,0.18,0.09,0.13,24.04
123,12.3,198.07,210.2,0.52,0.21,0.22,0.18,0.09,0.11,24.04
124,12.4,194.46,210,0.52,0.23,0.2,0.17,0.08,0.1,24.04
125,12.5,196.59,210.09,0.52,0.23,0.2,0.16,0.09,0.1,24.06
126,12.6,199.48,210.09,0.52,0.23,0.22,0.16,0.1,0.1,24.06
127,12.7,208.68,210.16,0.51,0.24,0.22,0.16,0.12,0.1,24.05
128,12.8,208.24,209.96,0.51,0.24,0.22,0.16,0.12,0.09,24.06
129,12.9,209.27,210.62,0.51,0.25,0.23,0.17,0.11,0.1,24.03
130,13,205.48,210.29,0.51,0.24,0.2,0.18,0.09,0.12,24.01
131,13.1,202.18,209.96,0.52,0.24,0.2,0.18,0.09,0.12,24
132,13.2,193.43,210.11,0.52,0.25,0.2,0.18,0.11,0.12,24.01
133,13.3,191.24,209.82,0.5,0.25,0.22,0.2,0.1,0.12,24.02
134,13.4,195.99,210.23,0.51,0.27,0.23,0.18,0.11,0.12,24.04
135,13.5,197.3,210.24,0.51,0.25,0.22,0.18,0.1,0.12,24.05
136,13.6,198.05,210.24,0.5,0.25,0.2,0.17,0.08,0.11,24.07
137,13.7,196.87,210.11,0.5,0.25,0.2,0.17,0.08,0.12,24.08
138,13.8,195.07,210.45,0.5,0.23,0.2,0.18,0.09,0.11,24.05
139,13.9,193.01,209.82,0.5,0.23,0.22,0.18,0.08,0.12,24.03
140,14,196.74,210.07,0.5,0.23,0.2,0.18,0.09,0.12,24
141,14.1,200.16,209.68,0.51,0.23,0.2,0.18,0.09,0.09,24.01
142,14.2,201.76,210.14,0.51,0.24,0.22,0.18,0.09,0.1,24.02
143,14.3,205.55,210.25,0.5,0.25,0.2,0.18,0.08,0.1,24.01
144,14.4,212.12,210.1,0.51,0.25,0.22,0.18,0.09,0.1,24.02
145,14.5,213.08,209.8,0.51,0.25,0.2,0.18,0.08,0.11,24.03
146,14.6,216.05,209.8,0.5,0.24,0.2,0.18,0.08,0.12,24.02
147,14.7,213.89,209.78,0.5,0.24,0.2,0.17,0.09,0.11,24.01
148,14.8,211.85,209.98,0.48,0.23,0.2,0.16,0.11,0.12,24
149,14.9,208.44,210.28,0.48,0.23,0.19,0.17,0.1,0.12,24
150,15,213.16,210.03,0.5,0.23,0.22,0.18,0.1,0.12,24
151,15.1,212.69,210.14,0.52,0.24,0.2,0.18,0.09,0.12,24.01
152,15.2,209.64,208.57,0.52,0.24,0.2,0.18,0.1,0.12,24.02
153,15.3,208.17,146.66,0.51,0.24,0.2,0.18,0.09,0.11,24.03
154,15.4,211.73,66.79,0.5,0.24,0.2,0.17,0.08,0.11,24.06
155,15.5,211.47,256.07,0.46,0.24,0.19,0.18,0.08,0.12,24.08
156,15.6,213.16,552.27,0.45,0.24,0.17,0.17,0.08,0.11,24.09
157,15.7,205.2,322.75,0.45,0.23,0.17,0.16,0.08,0.1,24.06
158,15.8,201.51,183.17,0.5,0.25,0.2,0.18,0.09,0.12,24.03
159,15.9,202.55,156.29,0.54,0.27,0.22,0.2,0.1,0.12,24.01
160,16,198.94,174.55,0.51,0.27,0.2,0.2,0.1,0.12,24.01
161,16.1,197.54,240.99,0.51,0.27,0.2,0.2,0.12,0.12,23.98
162,16.2,195.6,191.23,0.51,0.27,0.2,0.18,0.12,0.12,23.95
163,16.3,199.98,225.33,0.54,0.27,0.2,0.18,0.1,0.11,23.96
164,16.4,204.73,203.01,0.51,0.25,0.2,0.18,0.09,0.11,23.96
165,16.5,205.26,215.13,0.52,0.25,0.2,0.18,0.1,0.11,23.95
166,16.6,207.49,209.29,0.54,0.25,0.2,0.17,0.09,0.11,23.94
167,16.7,212.56,207.02,0.54,0.25,0.22,0.17,0.08,0.12,23.94
168,16.8,214.66,213.83,0.54,0.24,0.2,0.18,0.09,0.11,23.97
169,16.9,211.98,206.78,0.52,0.24,0.22,0.18,0.08,0.12,23.98
170,17,211.8,213.11,0.51,0.25,0.22,0.18,0.09,0.12,24
171,17.1,216.91,205.95,0.51,0.27,0.22,0.18,0.1,0.12,23.99
172,17.2,209.92,212.21,0.54,0.27,0.23,0.18,0.11,0.12,24
173,17.3,217.68,207.51,0.54,0.27,0.23,0.2,0.11,0.13,24.03
174,17.4,221.44,211.92,0.52,0.27,0.23,0.2,0.11,0.13,24.02
175,17.5,218.03,208.52,0.51,0.27,0.22,0.2,0.1,0.12,23.99
176,17.6,222.36,209.56,0.51,0.27,0.22,0.18,0.11,0.11,24.01
177,17.7,218.66,207.84,0.5,0.27,0.22,0.18,0.1,0.11,24.02
178,17.8,218.84,211.92,0.5,0.27,0.2,0.18,0.09,0.12,24
179,17.9,220.57,208.16,0.5,0.27,0.2,0.17,0.11,0.11,24
180,18,223.61,210.36,0.51,0.25,0.2,0.18,0.1,0.11,24.02
181,18.1,224.42,209.3,0.51,0.25,0.22,0.18,0.1,0.12,24.02
182,18.2,216.92,209.72,0.51,0.27,0.22,0.18,0.09,0.11,23.99
183,18.3,213.74,210.16,0.51,0.28,0.2,0.2,0.08,0.12,23.99
184,18.4,211.71,210.08,0.51,0.27,0.2,0.2,0.09,0.12,24.01
185,18.5,204.78,209.73,0.51,0.27,0.2,0.18,0.1,0.13,24.04
186,18.6,203.87,209.65,0.51,0.27,0.2,0.18,0.11,0.11,24.05
187,18.7,199.91,209.62,0.51,0.27,0.2,0.18,0.1,0.11,24.09
188,18.8,195.44,209.97,0.51,0.27,0.22,0.2,0.1,0.12,24.1
189,18.9,192.37,209.83,0.5,0.27,0.23,0.18,0.09,0.13,24.07
190,19,194.89,209.92,0.51,0.27,0.22,0.18,0.09,0.13,24.05
191,19.1,199.87,209.74,0.51,0.25,0.22,0.2,0.1,0.13,24.03
192,19.2,203.07,209.83,0.52,0.27,0.22,0.2,0.1,0.12,24.02
193,19.3,208.12,209.6,0.52,0.27,0.23,0.2,0.11,0.12,24.02
194,19.4,207.3,209.67,0.52,0.27,0.22,0.2,0.11,0.12,24.02
195,19.5,206.79,210.06,0.51,0.27,0.2,0.18,0.1,0.12,24.05
196,19.6,207.05,209.6,0.51,0.27,0.2,0.18,0.09,0.11,24.09
197,19.7,207.08,210.33,0.51,0.27,0.22,0.18,0.1,0.12,24.07
198,19.8,205.63,210.32,0.52,0.27,0.23,0.17,0.11,0.12,24.05
199,19.9,212.27,210.19,0.51,0.28,0.23,0.18,0.11,0.11,24.04
200,20,212.48,209.64,0.51,0.27,0.23,0.18,0.1,0.1,24.04
201,20.1,213.93,209.95,0.51,0.24,0.23,0.17,0.11,0.11,24.04
202,20.2,212.8,209.43,0.51,0.25,0.2,0.17,0.12,0.11,24.04
203,20.3,218.86,210.08,0.52,0.25,0.2,0.18,0.11,0.1,24.02
204,20.4,218.57,210.18,0.51,0.27,0.23,0.2,0.1,0.1,24
205,20.5,221.8,209.61,0.51,0.27,0.23,0.2,0.11,0.11,24
206,20.6,216.26,210.11,0.51,0.25,0.2,0.18,0.11,0.11,23.96
207,20.7,210.02,209.95,0.54,0.27,0.2,0.2,0.1,0.11,23.93
208,20.8,208.35,209.71,0.52,0.25,0.2,0.2,0.09,0.11,23.91
209,20.9,204.94,210.07,0.51,0.25,0.2,0.18,0.09,0.11,23.91
210,21,206.73,210.02,0.51,0.27,0.2,0.18,0.1,0.11,23.92
211,21.1,208.41,209.54,0.51,0.27,0.2,0.18,0.12,0.11,23.92
212,21.2,207.56,210.01,0.51,0.27,0.2,0.2,0.09,0.11,23.89
213,21.3,204.65,209.1,0.5,0.25,0.2,0.18,0.1,0.11,23.87
214,21.4,200.7,210,0.51,0.27,0.2,0.17,0.11,0.11,23.87
215,21.5,198.84,209.61,0.5,0.27,0.2,0.17,0.1,0.12,23.87
216,21.6,194.43,210.63,0.5,0.27,0.2,0.17,0.09,0.11,23.87
217,21.7,190.66,209.81,0.5,0.27,0.2,0.18,0.1,0.11,23.87
218,21.8,189.2,210.41,0.51,0.27,0.22,0.18,0.09,0.12,23.88
219,21.9,184.67,209.52,0.52,0.27,0.23,0.18,0.1,0.13,23.91
220,22,186.52,209.61,0.52,0.27,0.23,0.18,0.11,0.13,23.9
221,22.1,196.69,209.67,0.52,0.27,0.22,0.2,0.11,0.12,23.89
222,22.2,198.26,209.47,0.52,0.27,0.2,0.18,0.1,0.13,23.89
223,22.3,202.66,209.44,0.51,0.27,0.22,0.18,0.08,0.12,23.89
224,22.4,198.67,209.94,0.51,0.27,0.2,0.18,0.09,0.12,23.88
225,22.5,206.57,209.71,0.51,0.27,0.2,0.18,0.08,0.12,23.89
226,22.6,203.65,209.49,0.51,0.27,0.2,0.2,0.09,0.12,23.9
227,22.7,204.25,209.47,0.51,0.27,0.22,0.2,0.1,0.12,23.9
228,22.8,209.36,209.69,0.52,0.25,0.23,0.2,0.11,0.12,23.89
229,22.9,216.33,209.96,0.52,0.27,0.2,0.2,0.1,0.13,23.88
230,23,212.67,209.82,0.51,0.28,0.2,0.2,0.1,0.12,23.88
231,23.1,210.89,210.19,0.51,0.27,0.2,0.2,0.1,0.13,23.91
232,23.2,213.24,209.43,0.5,0.27,0.2,0.2,0.09,0.12,23.92
233,23.3,209.43,210.41,0.51,0.27,0.22,0.2,0.09,0.13,23.91
234,23.4,210.92,209.4,0.51,0.27,0.2,0.2,0.11,0.12,23.92
235,23.5,212.93,209.78,0.5,0.27,0.2,0.18,0.1,0.12,23.92
236,23.6,211.93,209.8,0.51,0.28,0.22,0.2,0.1,0.13,23.93
237,23.7,214.18,209.94,0.5,0.27,0.2,0.2,0.09,0.13,23.94
238,23.8,216.33,209.84,0.5,0.27,0.2,0.18,0.08,0.12,23.93
239,23.9,214.77,209.23,0.5,0.25,0.2,0.18,0.09,0.13,23.94
240,24,212.38,209.64,0.51,0.24,0.2,0.18,0.08,0.12,23.95
241,24.1,208.83,209.31,0.52,0.27,0.2,0.17,0.08,0.12,23.96
242,24.2,206.68,209.87,0.51,0.25,0.22,0.17,0.09,0.13,23.99
243,24.3,202.82,209.96,0.52,0.27,0.22,0.17,0.1,0.13,24.02
244,24.4,200.34,209.7,0.52,0.25,0.22,0.2,0.11,0.13,24.04
245,24.5,198.16,209.52,0.54,0.28,0.22,0.2,0.11,0.13,24.06
246,24.6,194.57,209.96,0.52,0.28,0.22,0.2,0.1,0.13,24.07
247,24.7,198.01,209.55,0.51,0.28,0.2,0.2,0.1,0.13,24.09
248,24.8,196.91,209.62,0.51,0.27,0.2,0.2,0.1,0.13,24.08
249,24.9,195.65,209.46,0.54,0.27,0.2,0.2,0.1,0.12,24.09
250,25,199.85,209.71,0.56,0.27,0.2,0.2,0.09,0.13,24.14
251,25.1,196.93,209.65,0.55,0.27,0.22,0.18,0.09,0.13,24.19
252,25.2,189.61,209.85,0.54,0.27,0.22,0.18,0.09,0.13,24.2
253,25.3,188.75,209.59,0.56,0.37,0.23,0.18,0.09,0.12,24.19
254,25.4,186.11,209.88,0.52,0.29,0.23,0.18,0.09,0.12,24.19
255,25.5,192.09,209.24,0.58,0.27,0.22,0.18,0.1,0.13,24.19
256,25.6,192.58,209.89,0.55,0.28,0.22,0.18,0.1,0.12,24.17
257,25.7,192.35,210.01,0.51,0.28,0.22,0.2,0.1,0.13,24.14
258,25.8,194.02,209.4,0.51,0.28,0.23,0.2,0.1,0.13,24.13
259,25.9,191.65,209.88,0.54,0.28,0.22,0.2,0.1,0.11,24.11
260,26,189.41,209.55,0.52,0.28,0.19,0.2,0.1,0.11,24.11
261,26.1,189.1,209.61,0.54,0.28,0.2,0.2,0.1,0.13,24.13
262,26.2,190.97,209.76,0.55,0.28,0.2,0.2,0.1,0.13,24.14
263,26.3,188.63,209.59,0.54,0.29,0.2,0.2,0.09,0.13,24.12
264,26.4,194.55,209.46,0.51,0.28,0.22,0.2,0.09,0.12,24.12
265,26.5,198.78,209.8,0.51,0.28,0.23,0.2,0.11,0.13,24.13
266,26.6,205.46,210.01,0.51,0.28,0.23,0.2,0.1,0.13,24.16
267,26.7,211.5,209.58,0.51,0.28,0.22,0.18,0.1,0.13,24.15
268,26.8,215.36,209.62,0.51,0.28,0.22,0.2,0.08,0.13,24.16
269,26.9,217.18,210.06,0.54,0.28,0.22,0.2,0.09,0.13,24.15
270,27,225.42,209.46,0.54,0.27,0.23,0.21,0.09,0.14,24.13
271,27.1,228.33,209.42,0.54,0.25,0.23,0.21,0.09,0.14,24.14
272,27.2,227.77,209.31,0.54,0.25,0.22,0.18,0.09,0.12,24.15
273,27.3,222.99,209.76,0.51,0.28,0.22,0.17,0.1,0.13,24.14
274,27.4,225.97,209.63,0.52,0.28,0.22,0.18,0.1,0.13,24.13
275,27.5,214.62,209.79,0.54,0.28,0.22,0.17,0.1,0.13,24.15
276,27.6,215.49,210.03,0.54,0.27,0.23,0.17,0.09,0.13,24.12
277,27.7,210.13,209.4,0.51,0.27,0.24,0.18,0.09,0.13,24.1
278,27.8,212.74,209.74,0.54,0.28,0.23,0.18,0.09,0.13,24.1
279,27.9,216.43,209.25,0.54,0.28,0.23,0.2,0.12,0.13,24.11
280,28,212.01,209.38,0.55,0.29,0.23,0.2,0.12,0.14,24.1
281,28.1,210.83,209.66,0.54,0.28,0.24,0.2,0.12,0.14,24.1
282,28.2,208.62,209.47,0.5,0.28,0.24,0.2,0.11,0.13,24.07
283,28.3,204.46,209.55,0.51,0.27,0.23,0.21,0.12,0.13,24.06
284,28.4,200.25,209.68,0.51,0.28,0.2,0.2,0.12,0.13,24.06
285,28.5,195.57,209.27,0.48,0.28,0.2,0.18,0.11,0.13,24.05
286,28.6,187.64,209.69,0.51,0.28,0.22,0.18,0.1,0.13,24.06
287,28.7,184.08,209.52,0.54,0.28,0.22,0.2,0.1,0.14,24.09
288,28.8,184.45,209.71,0.54,0.29,0.23,0.21,0.1,0.14,24.1
289,28.9,188.21,209.38,0.54,0.32,0.24,0.21,0.13,0.14,24.11
290,29,189.16,209.82,0.52,0.31,0.23,0.2,0.12,0.13,24.08
291,29.1,196.06,209.64,0.54,0.39,0.23,0.2,0.12,0.14,24.07
292,29.2,198.68,209.8,0.54,0.31,0.23,0.17,0.16,0.14,24.03
293,29.3,198.37,208.88,0.52,0.28,0.23,0.18,0.12,0.14,24
294,29.4,207.1,209.54,0.51,0.28,0.22,0.18,0.13,0.13,23.97
295,29.5,201.32,238.3,0.51,0.28,0.22,0.18,0.12,0.13,23.96
296,29.6,203.31,376.36,0.52,0.35,0.22,0.2,0.12,0.13,23.96
297,29.7,201.13,395.47,0.76,0.4,0.35,0.26,0.13,0.18,23.95
298,29.8,209.09,393.88,1.13,0.53,0.52,0.35,0.21,0.24,23.94
299,29.9,209.23,396.53,1.24,0.56,0.54,0.39,0.22,0.26,23.95
300,30,214.03,392.22,1.25,0.56,0.54,0.39,0.23,0.25,23.96
301,30.1,231.94,396.93,1.26,0.56,0.55,0.38,0.24,0.26,23.97
302,30.2,250.24,393.25,1.24,0.54,0.52,0.38,0.24,0.26,24
303,30.3,274.6,397.47,1.21,0.56,0.52,0.39,0.25,0.26,24.02
304,30.4,298.94,392.45,1.17,0.56,0.51,0.38,0.24,0.25,24.01
305,30.5,333.25,395.05,1.17,0.56,0.5,0.38,0.23,0.24,24
306,30.6,355.98,394.67,1.17,0.54,0.5,0.38,0.22,0.24,23.99
307,30.7,368.62,394.16,1.2,0.56,0.52,0.39,0.24,0.25,23.99
308,30.8,374.61,395.62,1.22,0.58,0.55,0.39,0.26,0.27,23.98
309,30.9,386.87,394.31,1.24,0.58,0.57,0.4,0.26,0.27,23.97
310,31,385.77,395.62,1.25,0.58,0.57,0.39,0.26,0.27,23.96
311,31.1,381.49,394.38,1.25,0.58,0.57,0.39,0.26,0.26,23.95
312,31.2,384.52,394.31,1.29,0.6,0.58,0.4,0.26,0.26,23.94
313,31.3,386.5,394.49,1.29,0.58,0.57,0.4,0.26,0.26,23.92
314,31.4,384.23,394.03,1.29,0.58,0.55,0.42,0.27,0.27,23.92
315,31.5,389.3,394.69,1.28,0.57,0.57,0.4,0.27,0.27,23.93
316,31.6,384.51,394.32,1.28,0.58,0.55,0.4,0.28,0.26,23.96
317,31.7,386.24,393.53,1.28,0.6,0.55,0.4,0.29,0.25,23.99
318,31.8,379.53,394.18,1.22,0.6,0.54,0.4,0.29,0.26,24.01
319,31.9,375.52,394.25,1.2,0.58,0.52,0.39,0.26,0.27,24.04
320,32,371.69,393.55,1.22,0.6,0.52,0.4,0.25,0.27,24.04
321,32.1,370.76,394.25,1.26,0.62,0.54,0.4,0.25,0.27,24.01
322,32.2,369.89,393.57,1.25,0.6,0.54,0.42,0.25,0.27,24.01
323,32.3,370.1,394.67,1.29,0.58,0.54,0.4,0.25,0.26,24
324,32.4,366.5,393.51,1.29,0.58,0.55,0.39,0.27,0.26,23.99
325,32.5,367.33,393.6,1.28,0.58,0.54,0.39,0.27,0.27,24
326,32.6,361.8,394.09,1.28,0.58,0.55,0.38,0.27,0.27,24
327,32.7,368.87,393.87,1.26,0.58,0.55,0.38,0.27,0.26,24.01
328,32.8,374.74,394.59,1.26,0.6,0.55,0.38,0.27,0.26,24.02
329,32.9,382,393.71,1.26,0.58,0.54,0.38,0.26,0.27,24.03
330,33,392.35,394.35,1.22,0.57,0.52,0.39,0.26,0.26,24.03
331,33.1,394.97,394.05,1.21,0.58,0.54,0.39,0.27,0.26,24.02
